Name,Column
Atlus,dev_Atlus
BioWare,dev_BioWare
Blizzard,dev_Blizzard
Activision,dev_Activision
Ubisoft,dev_Ubisoft
Rockstar,dev_Rockstar
1C,dev_1C
DICE,dev_DICE
Capcom,dev_Capcom
2K,dev_2K
343Industries,dev_343Industries
CreativeAssembly,dev_CreativeAssembly
FromSoftware,dev_FromSoftware
Vanguard,dev_Vanguard
Arkane,dev_Arkane
BandaiNamco,dev_BandaiNamco
Bethesda,dev_Bethesda
Bungie,dev_Bungie
Crytek,dev_Crytek
EA,dev_EA
Nintendo,dev_Nintendo
Ensemble,dev_Ensemble
EpicGames,dev_EpicGames
Frontier,dev_Frontier
Feral,dev_Feral
InfinityWard,dev_InfinityWard
Insomniac,dev_Insomniac
JapanStudios,dev_JapanStudios
Klei,dev_Klei
Konami,dev_Konami
LucasArts,dev_LucasArts
NaughtyDog,dev_NaughtyDog
Namco,dev_Namco
TellTale,dev_TellTale
other,dev_other
