id,name,released,metacritic,playtime,platform_name,esrb_rating_name,gamemodes,genre,dev,pub
13468,Total War: Attila,2015-02-17,80,11,PC,,Single-player,Strategy,CreativeAssembly,Sega
13468,Total War: Attila,2015-02-17,80,11,PC,,Multiplayer,Strategy,CreativeAssembly,Sega
13468,Total War: Attila,2015-02-17,80,11,macOS,,Single-player,Strategy,CreativeAssembly,Sega
13468,Total War: Attila,2015-02-17,80,11,macOS,,Multiplayer,Strategy,CreativeAssembly,Sega
13468,Total War: Attila,2015-02-17,80,11,Linux,,Single-player,Strategy,CreativeAssembly,Sega
13468,Total War: Attila,2015-02-17,80,11,Linux,,Multiplayer,Strategy,CreativeAssembly,Sega
5562,Fallout 3,2008-10-28,91,4,PC,Mature,Single-player,RPG,Bethesda,Bethesda
5562,Fallout 3,2008-10-28,91,4,Xbox One,Mature,Single-player,RPG,Bethesda,Bethesda
5562,Fallout 3,2008-10-28,91,4,Xbox 360,Mature,Single-player,RPG,Bethesda,Bethesda
5562,Fallout 3,2008-10-28,91,4,PlayStation 3,Mature,Single-player,RPG,Bethesda,Bethesda
5562,Fallout 3,2008-10-28,91,4,PC,Mature,Single-player,Shooter,Bethesda,Bethesda
5562,Fallout 3,2008-10-28,91,4,Xbox One,Mature,Single-player,Shooter,Bethesda,Bethesda
5562,Fallout 3,2008-10-28,91,4,Xbox 360,Mature,Single-player,Shooter,Bethesda,Bethesda
5562,Fallout 3,2008-10-28,91,4,PlayStation 3,Mature,Single-player,Shooter,Bethesda,Bethesda
14974,Rome: Total War - Alexander,2006-06-26,79,1,PC,Teen,Single-player,Strategy,CreativeAssembly,Sega
14974,Rome: Total War - Alexander,2006-06-26,79,1,PC,Teen,Single-player,Strategy,Feral,Sega
14974,Rome: Total War - Alexander,2006-06-26,79,1,PC,Teen,Multiplayer,Strategy,CreativeAssembly,Sega
14974,Rome: Total War - Alexander,2006-06-26,79,1,PC,Teen,Multiplayer,Strategy,Feral,Sega
14974,Rome: Total War - Alexander,2006-06-26,79,1,iOS,Teen,Single-player,Strategy,CreativeAssembly,Sega
14974,Rome: Total War - Alexander,2006-06-26,79,1,iOS,Teen,Single-player,Strategy,Feral,Sega
14974,Rome: Total War - Alexander,2006-06-26,79,1,iOS,Teen,Multiplayer,Strategy,CreativeAssembly,Sega
14974,Rome: Total War - Alexander,2006-06-26,79,1,iOS,Teen,Multiplayer,Strategy,Feral,Sega
14974,Rome: Total War - Alexander,2006-06-26,79,1,PC,Teen,Single-player,Simulation,CreativeAssembly,Sega
14974,Rome: Total War - Alexander,2006-06-26,79,1,PC,Teen,Single-player,Simulation,Feral,Sega
14974,Rome: Total War - Alexander,2006-06-26,79,1,PC,Teen,Multiplayer,Simulation,CreativeAssembly,Sega
14974,Rome: Total War - Alexander,2006-06-26,79,1,PC,Teen,Multiplayer,Simulation,Feral,Sega
14974,Rome: Total War - Alexander,2006-06-26,79,1,iOS,Teen,Single-player,Simulation,CreativeAssembly,Sega
14974,Rome: Total War - Alexander,2006-06-26,79,1,iOS,Teen,Single-player,Simulation,Feral,Sega
14974,Rome: Total War - Alexander,2006-06-26,79,1,iOS,Teen,Multiplayer,Simulation,CreativeAssembly,Sega
14974,Rome: Total War - Alexander,2006-06-26,79,1,iOS,Teen,Multiplayer,Simulation,Feral,Sega
1416,Mafia Ii,2010-08-24,77,13,PC,Mature,Single-player,Action,2K,2K
1416,Mafia Ii,2010-08-24,77,13,Xbox One,Mature,Single-player,Action,2K,2K
1416,Mafia Ii,2010-08-24,77,13,Xbox 360,Mature,Single-player,Action,2K,2K
1416,Mafia Ii,2010-08-24,77,13,PlayStation 3,Mature,Single-player,Action,2K,2K
1416,Mafia Ii,2010-08-24,77,13,PC,Mature,Single-player,Adventure,2K,2K
1416,Mafia Ii,2010-08-24,77,13,Xbox One,Mature,Single-player,Adventure,2K,2K
1416,Mafia Ii,2010-08-24,77,13,Xbox 360,Mature,Single-player,Adventure,2K,2K
1416,Mafia Ii,2010-08-24,77,13,PlayStation 3,Mature,Single-player,Adventure,2K,2K
2767,Far Cry Primal,2016-02-23,74,8,PC,Mature,Single-player,Action,Ubisoft,Ubisoft
2767,Far Cry Primal,2016-02-23,74,8,Xbox One,Mature,Single-player,Action,Ubisoft,Ubisoft
2767,Far Cry Primal,2016-02-23,74,8,PlayStation 4,Mature,Single-player,Action,Ubisoft,Ubisoft
2767,Far Cry Primal,2016-02-23,74,8,PC,Mature,Single-player,Shooter,Ubisoft,Ubisoft
2767,Far Cry Primal,2016-02-23,74,8,Xbox One,Mature,Single-player,Shooter,Ubisoft,Ubisoft
2767,Far Cry Primal,2016-02-23,74,8,PlayStation 4,Mature,Single-player,Shooter,Ubisoft,Ubisoft
57896,Mark Of The Ninja: Remastered,2018-10-08,89,4,PC,Mature,Single-player,Action,Klei,microsoft
57896,Mark Of The Ninja: Remastered,2018-10-08,89,4,Xbox One,Mature,Single-player,Action,Klei,microsoft
57896,Mark Of The Ninja: Remastered,2018-10-08,89,4,PlayStation 4,Mature,Single-player,Action,Klei,microsoft
57896,Mark Of The Ninja: Remastered,2018-10-08,89,4,Nintendo Switch,Mature,Single-player,Action,Klei,microsoft
25924,The Legend Of Zelda: Majora'S Mask,2000-04-27,95,23,Nintendo Switch,Everyone 10+,Single-player,Action,Nintendo,Nintendo
25924,The Legend Of Zelda: Majora'S Mask,2000-04-27,95,23,Nintendo 64,Everyone 10+,Single-player,Action,Nintendo,Nintendo
25924,The Legend Of Zelda: Majora'S Mask,2000-04-27,95,23,Nintendo Switch,Everyone 10+,Single-player,Adventure,Nintendo,Nintendo
25924,The Legend Of Zelda: Majora'S Mask,2000-04-27,95,23,Nintendo 64,Everyone 10+,Single-player,Adventure,Nintendo,Nintendo
274767,Far Cry New Dawn,2019-02-15,73,12,PC,Mature,Single-player,Action,Ubisoft,Ubisoft
