name,background_image,metacritic,playtime,esrb_rating_name,platform_name,genre,metacritic_category,season,platform_logo,cons_comp
Grand Theft Auto V,https://media.rawg.io/media/games/456/456dea5e1c7e3cd07060c14e96612001.jpg,92,73,Mature,PC,Action,Masterpiece,Fall,https://upload.wikimedia.org/wikipedia/commons/3/38/Pc_game_logo.png,Computer
Grand Theft Auto V,https://media.rawg.io/media/games/456/456dea5e1c7e3cd07060c14e96612001.jpg,92,73,Mature,PlayStation 5,Action,Masterpiece,Fall,https://upload.wikimedia.org/wikipedia/commons/c/cb/PlayStation_5_logo_and_wordmark.svg,Sony
Grand Theft Auto V,https://media.rawg.io/media/games/456/456dea5e1c7e3cd07060c14e96612001.jpg,92,73,Mature,Xbox One,Action,Masterpiece,Fall,https://upload.wikimedia.org/wikipedia/commons/4/43/Xbox_One_logo_wordmark.svg,Microsoft
Grand Theft Auto V,https://media.rawg.io/media/games/456/456dea5e1c7e3cd07060c14e96612001.jpg,92,73,Mature,PlayStation 4,Action,Masterpiece,Fall,https://upload.wikimedia.org/wikipedia/commons/8/87/PlayStation_4_logo_and_wordmark.svg,Sony
Grand Theft Auto V,https://media.rawg.io/media/games/456/456dea5e1c7e3cd07060c14e96612001.jpg,92,73,Mature,Xbox Series S/X,Action,Masterpiece,Fall,https://upload.wikimedia.org/wikipedia/commons/f/f3/Xbox_Series_X_S_black.svg,Microsoft
Grand Theft Auto V,https://media.rawg.io/media/games/456/456dea5e1c7e3cd07060c14e96612001.jpg,92,73,Mature,Xbox 360,Action,Masterpiece,Fall,https://upload.wikimedia.org/wikipedia/en/0/0c/Xbox_360_full_logo.svg,Microsoft
Grand Theft Auto V,https://media.rawg.io/media/games/456/456dea5e1c7e3cd07060c14e96612001.jpg,92,73,Mature,PlayStation 3,Action,Masterpiece,Fall,https://upload.wikimedia.org/wikipedia/commons/0/05/PlayStation_3_logo_%282009%29.svg,Sony
The Witcher 3: Wild Hunt,https://media.rawg.io/media/games/618/618c2031a07bbff6b4f611f10b6bcdbc.jpg,92,46,Mature,PC,Action,Masterpiece,Spring,https://upload.wikimedia.org/wikipedia/commons/3/38/Pc_game_logo.png,Computer
The Witcher 3: Wild Hunt,https://media.rawg.io/media/games/618/618c2031a07bbff6b4f611f10b6bcdbc.jpg,92,46,Mature,PlayStation 5,Action,Masterpiece,Spring,https://upload.wikimedia.org/wikipedia/commons/c/cb/PlayStation_5_logo_and_wordmark.svg,Sony
The Witcher 3: Wild Hunt,https://media.rawg.io/media/games/618/618c2031a07bbff6b4f611f10b6bcdbc.jpg,92,46,Mature,Xbox One,Action,Masterpiece,Spring,https://upload.wikimedia.org/wikipedia/commons/4/43/Xbox_One_logo_wordmark.svg,Microsoft
