Name,Column
EA,pub_EA
DeepSilver,pub_DeepSilver
ElectronicArts,pub_ElectronicArts
Ubisoft,pub_Ubisoft
Sega,pub_Sega
Activision,pub_Activision
SquareEnix,pub_SquareEnix
Devolver,pub_Devolver
Capcom,pub_Capcom
Konami,pub_Konami
BandaiNamco,pub_BandaiNamco
Paradox,pub_Paradox
Nintendo,pub_Nintendo
Sony,pub_Sony
koei,pub_koei
rockstar,pub_rockstar
THQ,pub_THQ
2K,pub_2K
D3,pub_D3
vivendi,pub_vivendi
majesco,pub_majesco
microsoft,pub_microsoft
505,pub_505
Atari,pub_Atari
Spike,pub_Spike
RisingStar,pub_RisingStar
Midway,pub_Midway
WarnerBros,pub_WarnerBros
Atlus,pub_Atlus
Codemasters,pub_Codemasters
Disney,pub_Disney
Blizzard,pub_Blizzard
Bethesda,pub_Bethesda
Curve,pub_Curve
1C,pub_1C
daedalic,pub_daedalic
FocusHome,pub_FocusHome
dev_HumbleBumble,dev_HumbleBumble
dev_Kalypso,dev_Kalypso
TellTale,pub_TellTale
dev_Team17,dev_Team17
dev_Valve,dev_Valve
dev_Xbox,dev_Xbox
dev_tinyBuild,dev_tinyBuild
other,pub_other
