"id","name","released","tba","rating","rating_top","ratings_count","reviews_text_count","added","metacritic","playtime","suggestions_count","updated","esrb_rating_id","esrb_rating_name","PlayStation 5","Xbox Series S/X","PlayStation 4","PC","PlayStation 3","Xbox 360","Xbox One","Nintendo Switch","Linux","macOS","Android","PS Vita","iOS","Xbox","Web","Wii U","Nintendo 3DS","PlayStation 2","Dreamcast","Classic Macintosh","Nintendo DS","Wii","GameCube","Nintendo 64","PlayStation","Game Boy Advance"
3498,"Grand Theft Auto V",2013-09-17,FALSE,4.47,5,6330,50,19378,92,73,421,2023-05-17 14:15:34,4,"Mature",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3328,"The Witcher 3: Wild Hunt",2015-05-18,FALSE,4.66,5,6028,64,18559,92,46,663,2023-05-18 22:20:16,4,"Mature",1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4200,"Portal 2",2011-04-18,FALSE,4.62,5,5263,31,17486,95,11,541,2023-05-18 22:20:17,2,"Everyone 10+",0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5286,"Tomb Raider (2013)",2013-03-05,FALSE,4.05,4,3660,12,15282,86,10,636,2023-05-18 15:38:25,4,"Mature",0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4291,"Counter-Strike: Global Offensive",2012-08-21,FALSE,3.57,4,3236,22,15162,81,65,581,2023-05-18 19:50:34,4,"Mature",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13536,"Portal",2007-10-09,FALSE,4.51,5,4392,23,14857,90,4,281,2023-05-19 18:56:16,3,"Teen",0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12020,"Left 4 Dead 2",2009-11-17,FALSE,4.09,4,3060,9,14808,89,9,582,2023-05-18 19:50:06,4,"Mature",0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5679,"The Elder Scrolls V: Skyrim",2011-11-11,FALSE,4.42,5,4332,29,14649,94,46,593,2023-05-16 19:12:58,4,"Mature",0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4062,"BioShock Infinite",2013-03-26,FALSE,4.39,5,3792,21,14145,94,12,595,2023-05-19 19:47:27,4,"Mature",0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"Red Dead Redemption 2",2018-10-26,FALSE,4.59,5,4524,67,14055,96,19,601,2023-05-18 22:20:18,4,"Mature",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
802,"Borderlands 2",2012-09-18,FALSE,4.02,4,3036,12,13983,89,10,679,2023-05-19 19:47:47,4,"Mature",0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3439,"Life is Strange",2015-01-29,FALSE,4.11,5,3432,25,13978,83,7,523,2023-05-16 11:16:58,4,"Mature",0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13537,"Half-Life 2",2004-11-16,FALSE,4.49,5,3586,16,13227,96,7,551,2023-05-19 13:58:24,4,"Mature",0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4286,"BioShock",2007-08-21,FALSE,4.36,5,3082,23,12857,96,3,637,2023-05-18 19:53:28,4,"Mature",0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1030,"Limbo",2010-07-21,FALSE,4.15,4,3081,22,12483,88,3,183,2023-05-13 17:35:56,3,"Teen",0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58175,"God of War (2018)",2018-04-20,FALSE,4.58,5,4368,67,12367,94,11,586,2023-05-18 22:20:18,4,"Mature",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"Destiny 2",2017-09-06,FALSE,3.55,4,2463,19,12339,82,5,1191,2023-05-16 19:12:14,3,"Teen",1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3070,"Fallout 4",2015-11-09,FALSE,3.8,4,3069,17,12293,84,41,444,2023-05-18 21:40:30,4,"Mature",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2454,"DOOM (2016)",2016-05-13,FALSE,4.38,5,3308,27,12291,85,10,652,2023-05-17 19:08:58,4,"Mature",0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11859,"Team Fortress 2",2007-10-10,FALSE,3.67,4,2701,18,12023,92,9,515,2023-05-18 01:40:38,4,"Mature",0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3939,"PAYDAY 2",2013-08-13,FALSE,3.51,4,2005,14,11972,79,9,404,2023-05-18 12:27:08,5,"Adults Only",0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,"Horizon Zero Dawn",2017-02-28,FALSE,4.31,5,3480,37,11743,89,10,616,2023-05-18 17:35:50,3,"Teen",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4459,"Grand Theft Auto IV",2008-04-29,FALSE,4.25,4,2735,16,11537,95,10,489,2023-05-16 19:13:59,4,"Mature",0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3272,"Rocket League",2015-07-07,FALSE,3.95,4,2657,14,11403,86,20,615,2023-05-19 18:57:09,1,"Everyone",0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41494,"Cyberpunk 2077",2020-12-10,FALSE,4.11,5,2197,52,11294,73,25,597,2023-05-18 12:26:49,4,"Mature",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422,"Terraria",2011-05-16,FALSE,4.05,4,2177,13,11252,81,14,296,2023-05-15 22:08:52,3,"Teen",0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
10213,"Dota 2",2013-07-09,FALSE,3.06,3,2546,20,11248,90,14,411,2023-05-18 12:27:05,0,NA,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
